観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),18日の最高気温(℃),18日の最高気温の品質情報,18日の最高気温起時（時）,18日の最高気温起時（分）,18日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（17日まで）,今年の最高気温（17日まで）の品質情報,今年の最高気温（17日まで）を観測した起日（年）,今年の最高気温（17日まで）を観測した起日（月）,今年の最高気温（17日まで）を観測した起日（日）,17日までの観測史上1位の値（℃）,17日までの観測史上1位の値の品質情報,17日までの観測史上1位の値を観測した起日（年）,17日までの観測史上1位の値を観測した起日（月）,17日までの観測史上1位の値を観測した起日（日）,17日までの11月の1位の値,17日までの11月の1位の値の品質情報,17日までの11月の1位の値の起日（年）,17日までの11月の1位の値の起日（月）,17日までの11月の1位の値の起日（日）,統計開始年
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,11,18,23,00,0.3,5,00,23,5,-4.9,-14.8,12,1,,,0,26.1,5,2024,07,20,31.9,8,2000,08,01,17.5,8,2004,11,11,1978
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2024,11,18,23,00,0.0,5,01,43,5,-5.3,-15.6,12,2,,,0,27.7,5,2024,07,19,32.7,8,2021,07,29,17.4,8,2003,11,03,1938
11046,北海道宗谷地方,礼文（レブン）,,2024,11,18,23,00,-1.1,5,00,23,5,-6.1,-14.5,12,3,,,0,28.1,5,2024,08,08,30.5,8,2022,07,31,16.1,8,2021,11,09,2003
11061,北海道宗谷地方,声問（コエトイ）,,2024,11,18,23,00,0.2,5,02,23,5,-4.8,-15.0,12,1,,,0,28.5,5,2024,07,19,33.3,8,2021,07,29,17.2,8,2006,11,09,2003
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,11,18,23,00,-0.5,5,00,20,5,-5.0,-13.8,12,1,,,0,28.0,5,2024,07,16,32.7,8,2000,07,31,18.3,8,2004,11,11,1978
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,11,18,23,00,-0.3,5,00,33,5,-5.4,-15.0,12,2,,,0,27.6,5,2024,07,19,31.8,8,2021,08,07,18.4,8,2021,11,09,2003
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,11,18,23,00,-0.7,5,00,45,5,-5.2,-16.3,12,2,,,0,29.7,5,2024,08,07,32.4,8,2021,07,29,17.2,8,2004,11,11,1977
11151,北海道宗谷地方,沓形（クツガタ）,,2024,11,18,23,00,1.0,5,00,15,5,-4.8,-13.4,12,1,,,0,28.2,5,2024,07,18,32.5,8,1989,08,07,16.7,8,1990,11,01,1977
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,11,18,23,00,-0.1,5,00,13,5,-5.1,-15.6,12,1,,,0,29.8,5,2024,08,07,33.1,8,2000,08,01,17.3,8,2003,11,03,1977
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,11,18,23,00,0.3,5,00,17,5,-4.3,-13.9,12,1,,,0,28.5,5,2024,07,21,33.6,4,1989,07,27,19.0,8,2003,11,03,1977
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2024,11,18,23,00,0.2,5,00,28,5,-4.2,-14.0,12,1,,,0,31.1,5,2024,07,19,35.8,8,2021,08,07,19.7,8,2003,11,03,1977
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402,2024,11,18,23,00,0.5,5,00,12,5,-4.6,-15.2,12,1,,,0,31.9,5,2024,07,21,35.0,8,2000,07,31,21.1,8,2003,11,03,1942
11316,北海道宗谷地方,歌登（ウタノボリ）,,2024,11,18,23,00,-0.3,5,01,56,5,-5.0,-16.4,12,1,,,0,31.4,5,2024,07,21,35.4,8,1989,07,26,20.2,8,2003,11,03,1977
12011,北海道上川地方,中川（ナカガワ）,,2024,11,18,23,00,0.8,5,00,01,5,-4.1,-15.7,12,1,,,0,32.1,5,2024,08,12,36.2,8,2021,07,28,18.7,8,2003,11,03,1977
12041,北海道上川地方,音威子府（オトイネップ）,,2024,11,18,23,00,0.2,5,01,05,5,-4.0,-13.2,12,1,,,0,32.5,5,2024,08,07,36.6,8,2021,07,28,19.2,8,2003,11,03,1977
12141,北海道上川地方,美深（ビフカ）,,2024,11,18,23,00,0.6,5,00,19,5,-3.6,-13.4,12,1,,,0,33.2,5,2024,08,13,36.6,8,2021,07,28,21.1,8,2003,11,03,1977
12181,北海道上川地方,名寄（ナヨロ）,,2024,11,18,23,00,0.6,5,00,52,5,-3.7,-12.5,12,1,,,0,34.1,5,2024,08,13,36.4,8,2021,07,28,20.2,8,2003,11,03,1976
12231,北海道上川地方,下川（シモカワ）,,2024,11,18,23,00,1.6,5,00,05,5,-2.6,-15.0,11,3,,,0,33.8,5,2024,08,13,37.3,8,2021,07,28,19.8,8,2003,11,03,1977
12261,北海道上川地方,士別（シベツ）,,2024,11,18,23,00,2.0,5,00,09,5,-2.4,-12.8,11,3,,,0,34.1,5,2024,08,07,37.0,8,2021,08,07,19.9,8,2003,11,03,1977
12266,北海道上川地方,朝日（アサヒ）,,2024,11,18,23,00,1.5,5,00,03,5,-2.8,-15.1,11,3,,,0,34.4,5,2024,08,13,37.2,8,2021,08,07,20.3,8,2003,11,03,1977
12301,北海道上川地方,和寒（ワッサム）,,2024,11,18,23,00,1.8,5,00,33,5,-2.7,-14.2,11,3,,,0,35.7,5,2024,08,13,36.8,8,2021,08,07,20.1,8,2003,11,03,1977
12386,北海道上川地方,江丹別（エタンベツ）,,2024,11,18,23,00,1.4,5,00,01,5,-3.1,-14.1,11,3,,,0,34.8,5,2024,08,12,38.4,8,2021,07,31,19.7,8,2003,11,03,1977
12396,北海道上川地方,比布（ピップ）,,2024,11,18,23,00,1.2,5,00,07,5,-3.3,-14.0,11,3,,,0,36.1,5,2024,08,13,36.9,8,2021,08,07,20.8,8,2003,11,03,1977
12411,北海道上川地方,上川（カミカワ）,,2024,11,18,23,00,-0.1,5,00,03,5,-3.9,-17.2,12,1,,,0,32.7,5,2024,08,13,35.1,8,2021,08,07,19.2,8,2003,11,03,1977
12442,北海道上川地方,旭川（アサヒカワ）,47407,2024,11,18,23,00,1.8,5,00,03,5,-3.3,-14.3,12,1,,,0,35.2,5,2024,08,13,37.9,8,2021,08,07,22.0,8,1920,11,03,1888
12451,北海道上川地方,東川（ヒガシカワ）,,2024,11,18,23,00,1.3,5,00,08,5,-3.5,-15.2,12,1,,,0,36.3,5,2024,08,13,37.0,8,2021,08,06,20.7,8,2003,11,03,1977
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2024,11,18,23,00,0.8,5,00,10,5,-4.0,-14.2,12,1,,,0,33.9,5,2024,08,13,36.1,8,2021,08,07,20.5,8,2003,11,03,2003
12512,北海道上川地方,志比内（シビナイ）,,2024,11,18,23,00,0.6,5,00,18,5,-3.7,-16.2,12,1,,,0,34.6,5,2024,08,13,35.3,8,2021,08,07,19.6,8,2003,11,03,1993
12551,北海道上川地方,美瑛（ビエイ）,,2024,11,18,23,00,0.6,5,00,35,5,-4.0,-14.9,12,1,,,0,34.9,5,2024,08,13,37.1,8,2021,08,07,20.2,8,2003,11,03,1977
12596,北海道上川地方,上富良野（カミフラノ）,,2024,11,18,23,00,1.7,5,00,06,5,-3.5,-14.2,12,1,,,0,35.7,5,2024,07,21,37.5,8,2021,08,07,20.9,8,2003,11,03,1977
12626,北海道上川地方,富良野（フラノ）,,2024,11,18,23,00,1.6,5,00,17,5,-3.7,-14.1,12,1,,,0,35.4,5,2024,07,21,38.5,8,2021,08,07,20.6,8,2023,11,03,1976
12632,北海道上川地方,麓郷（ロクゴウ）,,2024,11,18,23,00,0.3,5,00,01,5,-4.2,-14.3,12,1,,,0,34.6,5,2024,07,21,37.4,8,2021,08,07,19.4,8,2003,11,03,1978
12691,北海道上川地方,幾寅（イクトラ）,,2024,11,18,23,00,0.4,5,00,12,5,-4.3,-14.5,12,1,,,0,34.0,5,2024,07,21,34.9,8,2023,08,24,19.1,8,2003,11,03,1977
12746,北海道上川地方,占冠（シムカップ）,,2024,11,18,23,00,0.8,5,00,09,5,-4.0,-14.4,12,1,,,0,32.8,5,2024,07,21,34.6,8,2021,07,19,17.9,8,2023,11,03,1977
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,11,18,23,00,-0.4,5,00,03,5,-3.6,-13.8,12,1,,,0,34.3,5,2024,08,13,34.9,8,2021,07,28,18.3,8,2003,11,03,1978
15076,北海道上川地方,幌加内（ホロカナイ）,,2024,11,18,23,00,1.3,5,00,10,5,-2.9,-11.9,11,3,,,0,34.9,5,2024,08,12,37.3,8,2021,07,28,18.9,8,2003,11,03,1977
13061,北海道留萌地方,天塩（テシオ）,,2024,11,18,23,00,0.7,5,00,10,5,-5.1,-14.6,12,1,,,0,31.4,5,2024,08,12,33.8,4,2021,07,27,17.2,8,2023,11,06,1977
13086,北海道留萌地方,遠別（エンベツ）,,2024,11,18,23,00,1.6,5,00,15,5,-4.3,-15.6,12,1,,,0,33.6,5,2024,08,12,34.2,8,1979,08,18,18.8,8,2023,11,03,1977
13121,北海道留萌地方,初山別（ショサンベツ）,,2024,11,18,23,00,1.8,5,03,35,5,-4.7,-14.7,12,1,,,0,32.6,5,2024,08,13,33.8,8,2021,08,01,19.4,8,2005,11,07,1977
13146,北海道留萌地方,焼尻（ヤギシリ）,,2024,11,18,23,00,1.5,5,01,57,5,-5.1,-14.5,12,1,,,0,28.9,5,2024,07,18,32.4,8,2023,08,24,17.8,8,2023,11,03,1977
13181,北海道留萌地方,羽幌（ハボロ）,47404,2024,11,18,23,00,2.3,5,00,25,5,-4.2,-14.2,12,1,,,0,31.4,5,2024,08,03,34.4,8,2021,08,01,20.1,8,2005,11,07,1921
13261,北海道留萌地方,達布（タップ）,,2024,11,18,23,00,1.2,5,02,08,5,-4.3,-14.8,12,1,,,0,35.4,5,2024,08,12,38.7,8,2021,08,07,20.9,8,2003,11,03,1977
13277,北海道留萌地方,留萌（ルモイ）,47406,2024,11,18,23,00,3.3,5,00,59,5,-3.5,-13.2,12,1,,,0,33.4,5,2024,08,13,35.6,8,2021,08,01,21.2,8,2003,11,03,1943
13311,北海道留萌地方,増毛（マシケ）,,2024,11,18,23,00,3.1,5,00,46,5,-4.1,-14.7,12,1,,,0,32.6,5,2024,08,23,34.2,8,2021,08,01,22.0,8,2003,11,03,1978
13321,北海道留萌地方,幌糠（ホロヌカ）,,2024,11,18,23,00,2.6,5,00,15,5,-2.9,-13.7,11,3,,,0,34.3,5,2024,08,12,35.9,8,2021,08,07,20.5,8,2003,11,03,1977
14026,北海道石狩地方,浜益（ハママス）,,2024,11,18,23,00,3.6,5,00,06,5,-3.8,-13.2,12,1,,,0,31.0,5,2024,08,30,34.6,8,1989,08,07,20.9,8,2003,11,03,1977
14071,北海道石狩地方,厚田（アツタ）,,2024,11,18,23,00,3.4,5,00,24,5,-3.7,-12.2,12,1,,,0,33.5,5,2024,07,21,36.1,8,2021,07,28,20.8,8,2003,11,03,1977
14101,北海道石狩地方,新篠津（シンシノツ）,,2024,11,18,23,00,2.7,5,00,06,5,-3.6,-12.9,12,1,,,0,33.8,5,2024,08,12,35.5,8,2023,08,25,19.6,8,2003,11,02,1978
14116,北海道石狩地方,山口（ヤマグチ）,,2024,11,18,23,00,3.0,5,10,36,5,-4.8,-12.7,12,1,,,0,34.8,5,2024,07,22,37.1,8,2021,07,28,23.6,8,2023,11,03,1977
14121,北海道石狩地方,石狩（イシカリ）,,2024,11,18,23,00,2.3,5,00,27,5,-4.8,-12.8,12,1,,,0,34.3,5,2024,07,21,35.4,8,2021,07,28,21.8,8,2003,11,03,1990
14136,北海道石狩地方,江別（エベツ）,,2024,11,18,23,00,2.5,5,00,10,5,-4.2,-12.9,12,1,,,0,34.7,5,2024,08,12,35.6,8,2021,07,31,19.7,8,2003,11,03,2000
14163,北海道石狩地方,札幌（サッポロ）,47412,2024,11,18,23,00,3.4,5,11,01,5,-4.4,-12.3,12,1,,,0,34.7,5,2024,07,22,36.3,8,2023,08,23,22.4,8,2003,11,03,1876
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2024,11,18,23,00,3.4,5,11,54,5,-3.8,-11.6,12,1,,,0,34.0,5,2024,08,12,34.3,8,1999,08,08,20.5,8,2023,11,03,1977
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2024,11,18,23,00,2.0,5,00,04,5,-4.1,-12.3,12,1,,,0,30.5,5,2024,08,12,31.9,8,2007,08,14,19.3,8,2023,11,03,1977
14296,北海道石狩地方,千歳（チトセ）,,2024,11,18,23,00,4.0,5,12,09,5,-4.0,-11.3,12,1,,,0,32.9,5,2024,08,12,34.2,8,2011,08,11,20.4,8,2023,11,03,2003
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2024,11,18,23,00,1.9,5,00,13,5,-2.9,-13.1,11,3,,,0,35.1,5,2024,08,13,36.9,8,2021,08,07,19.4,8,2003,11,03,1976
15156,北海道空知地方,秩父別（チップベツ）,,2024,11,18,23,00,1.8,5,01,15,5,,-13.6,,,,,0,34.3,5,2024,08,13,35.1,8,2023,08,24,17.6,8,2023,11,03,2022
15161,北海道空知地方,深川（フカガワ）,,2024,11,18,23,00,1.8,5,00,07,5,-3.6,-14.3,12,1,,,0,33.0,5,2024,07,21,36.1,8,2021,08,06,20.9,8,2003,11,03,1977
